Year,team,matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA,reached_semifinals
2010.0,England,4,3.0,5.0,1,2,1,45037.0,0.75,25.0,-2.0,False,False,False,False,False,False,True,0
2010.0,France,3,1.0,4.0,0,1,2,46295.0,0.33,0.0,-3.0,False,False,False,False,False,False,True,0
2010.0,Germany,7,16.0,5.0,5,0,2,55167.0,2.29,71.4,11.0,False,False,False,False,False,False,True,1
2010.0,Ghana,5,5.0,4.0,2,2,1,55206.0,1.0,40.0,1.0,False,True,False,False,False,False,False,0
2010.0,Greece,3,2.0,5.0,1,0,2,33999.0,0.67,33.3,-3.0,False,False,False,False,False,True,False,0
2010.0,Honduras,3,0.0,3.0,0,1,2,38364.0,0.0,0.0,-3.0,False,False,False,False,False,True,False,0
2010.0,Italy,3,4.0,5.0,0,2,1,51503.0,1.33,0.0,-1.0,False,False,False,False,False,False,True,0
2010.0,Japan,4,4.0,2.0,2,1,1,39335.0,1.0,50.0,2.0,True,False,False,False,False,False,False,0
2010.0,Korea DPR,3,1.0,12.0,0,0,3,50913.0,0.33,0.0,-11.0,False,False,False,False,False,True,False,0
2010.0,Korea Republic,4,6.0,8.0,1,1,2,51540.0,1.5,25.0,-2.0,True,False,False,False,False,False,False,0
2010.0,Mexico,4,4.0,5.0,1,1,2,59416.0,1.0,25.0,-1.0,False,False,True,False,False,False,False,0
2010.0,Netherlands,7,12.0,6.0,6,0,1,65384.0,1.71,85.7,6.0,False,False,False,False,False,False,True,1
2010.0,New Zealand,3,2.0,2.0,0,3,0,32317.0,0.67,0.0,0.0,False,False,False,False,True,False,False,0
2010.0,Nigeria,3,3.0,5.0,0,1,2,49718.0,1.0,0.0,-2.0,False,True,False,False,False,False,False,0
2010.0,Paraguay,5,3.0,2.0,1,3,1,43293.0,0.6,20.0,1.0,False,False,False,True,False,False,False,0
2010.0,Portugal,4,7.0,1.0,1,2,1,56586.0,1.75,25.0,6.0,False,False,False,False,False,False,True,0
2010.0,Serbia,3,2.0,3.0,1,0,2,38321.0,0.67,33.3,-1.0,False,False,False,False,False,True,False,0
2010.0,Slovakia,4,5.0,7.0,1,1,2,41472.0,1.25,25.0,-2.0,False,False,False,False,False,True,False,0
2010.0,Slovenia,3,3.0,3.0,1,1,1,37597.0,1.0,33.3,0.0,False,False,False,False,False,True,False,0
2010.0,South Africa,3,3.0,5.0,1,1,1,55521.0,1.0,33.3,-2.0,False,True,False,False,False,False,False,0
2010.0,Spain,7,8.0,2.0,6,0,1,60366.0,1.14,85.7,6.0,False,False,False,False,False,False,True,1
2010.0,Switzerland,3,1.0,1.0,1,1,1,41789.0,0.33,33.3,0.0,False,False,False,False,False,False,True,0
2010.0,United States,4,5.0,5.0,1,2,1,38756.0,1.25,25.0,0.0,False,False,True,False,False,False,False,0
2010.0,Uruguay,7,11.0,8.0,3,2,2,50504.0,1.57,42.9,3.0,False,False,False,True,False,False,False,1
2014.0,Algeria,4,7.0,7.0,1,1,2,44961.0,1.75,25.0,0.0,False,False,False,False,False,True,False,0
2014.0,Argentina,7,8.0,4.0,5,1,1,63647.0,1.14,71.4,4.0,False,False,False,True,False,False,False,1
2014.0,Australia,3,3.0,9.0,0,0,3,40842.0,1.0,0.0,-6.0,True,False,False,False,False,False,False,0
2014.0,Belgium,5,6.0,3.0,4,0,1,62359.0,1.2,80.0,3.0,False,False,False,False,False,False,True,0
2014.0,Brazil,7,11.0,14.0,3,2,2,62255.0,1.57,42.9,-3.0,False,False,False,True,False,False,False,1
2014.0,Cameroon,3,1.0,9.0,0,0,3,49437.0,0.33,0.0,-8.0,False,True,False,False,False,False,False,0
2014.0,Chile,4,6.0,4.0,2,1,1,58772.0,1.5,50.0,2.0,False,False,False,True,False,False,False,0
2014.0,Colombia,5,12.0,4.0,4,0,1,60082.0,2.4,80.0,8.0,False,False,False,True,False,False,False,0
2014.0,Costa Rica,5,5.0,2.0,2,3,0,49842.0,1.0,40.0,3.0,False,False,True,False,False,False,False,0
2014.0,Croatia,3,6.0,6.0,1,0,2,47766.0,2.0,33.3,0.0,False,False,False,False,False,False,True,0
2014.0,C�te d'Ivoire,3,4.0,5.0,1,0,2,56037.0,1.33,33.3,-1.0,False,False,False,False,False,True,False,0
2014.0,Ecuador,3,3.0,3.0,1,1,1,60441.0,1.0,33.3,0.0,False,False,False,True,False,False,False,0
2014.0,England,3,2.0,4.0,0,1,2,53399.0,0.67,0.0,-2.0,False,False,False,False,False,False,True,0
2014.0,France,5,10.0,3.0,3,1,1,61977.0,2.0,60.0,7.0,False,False,False,False,False,False,True,0
2014.0,Germany,7,18.0,4.0,6,1,0,57242.0,2.57,85.7,14.0,False,False,False,False,False,False,True,1
2014.0,Ghana,3,4.0,6.0,0,1,2,55640.0,1.33,0.0,-2.0,False,True,False,False,False,False,False,0
2014.0,Greece,4,3.0,5.0,1,2,1,49249.0,0.75,25.0,-2.0,False,False,False,False,False,True,False,0
2014.0,Honduras,3,1.0,8.0,0,0,3,40853.0,0.33,0.0,-7.0,False,False,False,False,False,True,False,0
2014.0,Iran,3,1.0,4.0,0,1,2,48263.0,0.33,0.0,-3.0,True,False,False,False,False,False,False,0
2014.0,Italy,3,2.0,3.0,1,0,2,39930.0,0.67,33.3,-1.0,False,False,False,False,False,False,True,0
2014.0,Japan,3,2.0,6.0,0,1,2,40031.0,0.67,0.0,-4.0,True,False,False,False,False,False,False,0
2014.0,Korea Republic,3,3.0,6.0,0,1,2,47244.0,1.0,0.0,-3.0,True,False,False,False,False,False,False,0
2014.0,Mexico,4,5.0,3.0,2,1,1,49897.0,1.25,50.0,2.0,False,False,True,False,False,False,False,0
2014.0,Netherlands,7,15.0,4.0,5,2,0,56478.0,2.14,71.4,11.0,False,False,False,False,False,False,True,1
2014.0,Nigeria,4,3.0,5.0,1,1,2,47687.0,0.75,25.0,-2.0,False,True,False,False,False,False,False,0
2014.0,Portugal,3,4.0,7.0,1,1,1,52915.0,1.33,33.3,-3.0,False,False,False,False,False,False,True,0
2014.0,Russia,3,2.0,3.0,0,2,1,50244.0,0.67,0.0,-1.0,False,False,False,False,False,False,True,0
